Date,Địa danh,Số ca,Buổi
5/1/2021,Quảng Ninh,3,Tối
5/1/2021,Đà Nẵng,2,Tối
5/1/2021,TP. Hồ Chí Minh,3,Tối
5/1/2021,Hà Tĩnh,3,Tối
5/1/2021,Hà Nam,3,Tối
4/30/2021,TP. Hồ Chí Minh,2,Tối
4/30/2021,Tây Ninh,1,Tối
4/30/2021,Sóc Trăng,2,Tối
4/30/2021,Bà Rịa - Vũng Tàu,5,Tối
4/30/2021,Hà Nam,2,Tối
4/30/2021,Hà Nội,2,Tối
4/30/2021,Hà Nội,1,Sáng
4/30/2021,Hưng Yên,2,Sáng
4/30/2021,Quảng Trị,1,Sáng
4/29/2021,Hà Nam,5,Tối
4/29/2021,TP. Hồ Chí Minh,1,Tối
4/29/2021,Cần Thơ,17,Tối
4/29/2021,Long An,2,Tối
4/29/2021,Bà Rịa - Vũng Tàu,12,Tối
4/29/2021,Khánh Hòa,1,Tối
4/29/2021,Nghệ An,1,Tối
4/29/2021,Vĩnh Phúc,2,Tối
4/29/2021,Đà Nẵng,4,Tối
4/28/2021,Khánh Hòa,6,Tối
4/28/2021,Nam Định,1,Tối
4/28/2021,Đà Nẵng,1,Tối
4/27/2021,Thái Nguyên,1,Tối
4/27/2021,Hà Nội,1,Tối
4/27/2021,Khánh Hòa,2,Tối
4/27/2021,Yên Bái,1,Tối
4/26/2021,Hà Nội,3,Tối
4/26/2021,TP. Hồ Chí Minh,2,Tối
4/26/2021,Bà Rịa - Vũng Tàu,1,Tối
4/26/2021,Quảng Nam,2,Sáng
4/26/2021,Đà Nẵng,1,Sáng
4/25/2021,Hà Nội,1,Tối
4/25/2021,Khánh Hòa,6,Tối
4/25/2021,Đà Nẵng,3,Tối
4/24/2021,Đà Nẵng,1,Tối
4/24/2021,Yên Bái,1,Sáng
4/24/2021,Thái Bình,1,Sáng
4/23/2021,Đà Nẵng,1,Tối
4/23/2021,Bà Rịa - Vũng Tàu,1,Tối
4/23/2021,Khánh Hòa,2,Tối
4/23/2021,An Giang,1,Tối
4/23/2021,TP. Hồ Chí Minh,1,Tối
4/23/2021,TP. Hồ Chí Minh,5,Sáng
4/23/2021,Nam Định,3,Sáng
4/22/2021,Hà Nội,1,Tối
4/22/2021,Đà Nẵng,2,Tối
4/22/2021,Phú Yên,1,Tối
4/22/2021,Thái Bình,4,Sáng
4/22/2021,Yên Bái,2,Sáng
4/21/2021,Khánh Hòa,2,Tối
4/21/2021,Đà Nẵng,3,Tối
